ID,Temperature,Treatment,Clone,Experiment,Growth0,Growth1,Growth2,maxInduction
D1081_12_P3_A,13,Predator,D10_81,Acclim,0.057678017,0.084317078,0.08529724,60
Cyril_12_P1_A,13,Predator,Cyril,Acclim,0.05590442,0.10386942,0.105334052,40
Cyril_12_P2_A,13,Predator,Cyril,Acclim,0.054812141,0.102133017,0.100382773,10
Cyril_12_P3_A,13,Predator,Cyril,Acclim,0.05270926,0.102467299,0.102138892,40
D87A_12_P2_A,13,Predator,D87_A,Acclim,0.042340837,0.075596419,0.074420202,10
D87A_12_P3_A,13,Predator,D87_A,Acclim,0.045470343,0.07604703,0.074798067,10
D87A_12_P1_A,13,Predator,D87_A,Acclim,0.038944789,0.069276784,0.06916765,10
D10A13_12_C1_A,13,Control,D10_A13,Acclim,0.045620785,0.069483293,0.070084379,10
D10A13_12_C3_A,13,Control,D10_A13,Acclim,0.046184253,0.069748105,0.070950297,20
D1045_12_P1_A,13,Predator,D10_45,Acclim,0.05393195,0.079522676,0.078775326,60
D1045_12_P2_A,13,Predator,D10_45,Acclim,0.049817436,0.075193891,0.074980216,70
C14_12_P3_A,13,Predator,C14,Acclim,0.047971158,0.072800424,0.073279524,100
D10A13_12_P1_A,13,Predator,D10_A13,Acclim,0.053575497,0.074173841,0.073536083,50
D10A13_12_P3_A,13,Predator,D10_A13,Acclim,0.052650296,0.07324864,0.073355409,70
C14_12_P1_A,13,Predator,C14,Acclim,0.044527541,0.066554435,0.066965241,100
C14_12_P2_A,13,Predator,C14,Acclim,0.045342457,0.068608408,0.06757448,100
C14_12_C1_A,13,Control,C14,Acclim,0.0370567,0.062025091,0.062431513,50
D10A14_12_C1_A,13,Control,D10_A14,Acclim,0.042969999,0.063709449,0.064961769,20
D10A14_12_C2_A,13,Control,D10_A14,Acclim,0.042143316,0.062501813,0.065310891,20
D10A14_12_C3_A,13,Control,D10_A14,Acclim,0.042852486,0.060599726,0.064553304,10
D10A13_12_P2_A,13,Predator,D10_A13,Acclim,0.050573985,0.069428667,0.068504611,70
D86A_12_C1_A,13,Control,D86_A,Acclim,0.040458985,0.068298577,0.066799114,10
LD33_12_C3_A,13,Control,LD33,Acclim,0.032763562,0.061904151,0.062877454,20
LD33_12_C1_A,13,Control,LD33,Acclim,0.031124916,0.058222623,0.059028272,20
LD33_12_C2_A,13,Control,LD33,Acclim,0.03125019,0.059153546,0.057948694,10
D86A_12_P2_A,13,Predator,D86_A,Acclim,0.042191083,0.063263186,0.064462757,0
D86A_12_P3_A,13,Predator,D86_A,Acclim,0.040651038,0.062274109,0.061998056,10
D10A14_12_P1_A,13,Predator,D10_A14,Acclim,0.042473719,0.061033188,0.062277668,90
D10A14_12_P2_A,13,Predator,D10_A14,Acclim,0.040068793,0.062154507,0.063089538,60
D10A14_12_P3_A,13,Predator,D10_A14,Acclim,0.043938213,0.063921857,0.06491893,50
C14_12_C2_A,13,Control,C14,Acclim,0.031087899,0.046929777,0.048140496,30
C14_12_C3_A,13,Control,C14,Acclim,0.030514319,0.047566916,0.047295195,40
D86A_12_C2_A,13,Control,D86_A,Acclim,0.035118681,0.056877433,0.054191643,10
D86A_12_C3_A,13,Control,D86_A,Acclim,0.031108774,0.053044832,0.051035574,10
D1045_16_C1,16,Control,D10_45,Acute,0.073031373,0.116214148,0.116702894,20
D1045_16_C2,16,Control,D10_45,Acute,0.078502965,0.113201261,0.111174838,10
D1045_16_C3,16,Control,D10_45,Acute,0.073302925,0.113617487,0.110655537,10
D1045_16_P3,16,Predator,D10_45,Acute,0.07694236,0.117310091,0.116857879,10
D1045_16_P2,16,Predator,D10_45,Acute,0.056631181,0.097247428,0.097701122,50
D87A_16_C1,16,Control,D87_A,Acute,0.070060047,0.102666738,0.102416719,0
D87A_16_C2,16,Control,D87_A,Acute,0.073466972,0.104987991,0.101781026,0
LD33_16_C1,16,Control,LD33,Acute,0.091194783,0.12660888,0.092096697,10
LD33_16_C2,16,Control,LD33,Acute,0.076563123,0.114620738,0.114888691,30
LD33_16_C3,16,Control,LD33,Acute,0.069712495,0.107090832,0.105911654,60
LD33_16_P1,16,Predator,LD33,Acute,0.087695324,0.1422142,0.14068412,60
LD33_16_P2,16,Predator,LD33,Acute,0.09330733,0.151212217,0.145439786,50
LD33_16_P3,16,Predator,LD33,Acute,0.091815714,0.145412985,0.148045163,50
AD10_1_16_C1,16,Control,AD10_1,Acute,0.080231736,0.128447927,0.129626679,10
AD10_1_16_C2,16,Control,AD10_1,Acute,0.081410372,0.12275311,0.123852662,10
AD10_1_16_C3,16,Control,AD10_1,Acute,0.084054267,0.124557961,0.127212056,10
D87A_16_P1,16,Predator,D87_A,Acute,0.076905187,0.109536162,0.108146395,40
D87A_16_P3,16,Predator,D87_A,Acute,0.06425526,0.096563414,0.099195501,30
D87A_16_C3,16,Control,D87_A,Acute,0.050258947,0.073491952,0.07128367,0
C14_16_C3,16,Control,C14,Acute,0.060457494,0.105050919,0.080254701,50
C14_16_P1,16,Predator,C14,Acute,0.064504248,0.10892446,0.109832043,70
C14_16_P2,16,Predator,C14,Acute,0.071783953,0.117981677,0.116830937,60
C14_16_P3,16,Predator,C14,Acute,0.066231719,0.1124754,0.113473953,80
C14_16_C1,16,Control,C14,Acute,0.055618133,0.095080226,0.07784366,20
C14_16_C2,16,Control,C14,Acute,0.05687171,0.090942721,0.076339144,20
AD10_1_16_P1,16,Predator,AD10_1,Acute,0.061685548,0.098209703,0.100351372,50
D10_A14_16_P2,16,Predator,D10_A14,Acute,0.082835997,0.134845485,0.130493549,50
AD10_1_16_P3,16,Predator,AD10_1,Acute,0.060669299,0.09598178,0.096992815,10
D10_A14_16_P1,16,Predator,D10_A14,Acute,0.074032192,0.120948237,0.120032352,40
D10_A14_16_P3,16,Predator,D10_A14,Acute,0.066537389,0.117274212,0.113550727,40
LD33_16_C1_A,16,Control,LD33,Acclim,0.043479499,0.106088911,0.076150095,20
LD33_16_C3_A,16,Control,LD33,Acclim,0.040802738,0.108248749,0.075766975,10
LD33_16_C2_A,16,Control,LD33,Acclim,0.051521597,0.111305297,0.088049929,20
D87A_16_C1_A,16,Control,D87_A,Acclim,0.053180403,0.084105028,0.087007789,0
D87A_16_C2_A,16,Control,D87_A,Acclim,0.052532007,0.085521399,0.085521399,0
D87A_16_C3_A,16,Control,D87_A,Acclim,0.049347599,0.083174984,0.084587437,0
D1045_16_C1_A,16,Control,D10_45,Acclim,0.066268797,0.104248533,0.075261268,10
D1045_16_C2_A,16,Control,D10_45,Acclim,0.063498827,0.101624869,0.072820065,20
D1045_16_C3_A,16,Control,D10_45,Acclim,0.061464495,0.106720167,0.075505711,10
Cyril_16_C1,16,Control,Cyril,Acute,0.054550749,0.141785886,0.147968816,0
Cyril_16_C2,16,Control,Cyril,Acute,0.062607847,0.139199766,0.146206424,0
Cyril_16_C3,16,Control,Cyril,Acute,0.083253446,0.141964916,0.151774876,0
D1081_16_C1,16,Control,D10_81,Acute,0.076403556,0.130237813,0.098182987,10
Cyril_16_P1,16,Predator,Cyril,Acute,0.06206548,0.118831765,0.089802271,10
D1081_16_C2,16,Control,D10_81,Acute,0.073092454,0.114947489,0.11882094,10
D1081_16_C3,16,Control,D10_81,Acute,0.067650954,0.111346531,0.111656609,10
D10A13_16_C1,16,Control,D10_A13,Acute,0.061823813,0.104116096,0.108262506,20
D10A13_16_C3,16,Control,D10_A13,Acute,0.053473744,0.093970268,0.072106702,30
Cyril_16_P2,16,Predator,Cyril,Acute,0.065232519,0.112874938,0.094535486,10
Cyril_16_P3,16,Predator,Cyril,Acute,0.072754861,0.116760516,0.095069216,0
D10A13_16_P1,16,Predator,D10_A13,Acute,0.0824488,0.120764445,0.087942786,10
D86A_16_C1,16,Control,D86_A,Acute,NA,NA,NA,0
D86A_16_C2,16,Control,D86_A,Acute,0.063001878,0.121627738,0.123910924,10
D86A_16_C3,16,Control,D86_A,Acute,0.061158986,0.116445697,0.118102729,0
D10A14_16_C3,16,Control,D10_A14,Acute,0.077235587,0.13739394,0.142345082,10
D10A13_16_P3,16,Predator,D10_A13,Acute,0.07462139,0.122910016,0.125371174,20
D10A13_16_P2,16,Predator,D10_A13,Acute,0.071966739,0.111689991,0.115424539,60
D10A14_16_C2,16,Control,D10_A14,Acute,0.063285699,0.10485705,0.099557167,10
D86A_16_P1,16,Predator,D86_A,Acute,0.099969614,0.129276778,NA,0
D10A14_16_P2,16,Predator,D10_A14,Acute,0.077480491,0.118194202,0.089308553,40
D10A14_16_C1,16,Control,D10_A14,Acute,0.061510046,0.109383016,0.101615614,10
Cyril_16_C1_A,16,Control,Cyril,Acclim,0.058672304,0.130259933,0.125263612,0
Cyril_16_C2_A,16,Control,Cyril,Acclim,0.064327303,0.131773314,0.129226537,0
Cyril_16_C3_A,16,Control,Cyril,Acclim,0.060842229,0.132429857,0.12722077,0
D1081_16_P1,16,Predator,D10_81,Acute,0.07655991,0.128878703,0.099550264,0
D1081_16_P2,16,Predator,D10_81,Acute,0.083752422,0.135442991,0.10716587,10
D86A_16_P2,16,Predator,D86_A,Acute,0.092979392,0.135016775,0.112882355,0
D86A_16_P3,16,Predator,D86_A,Acute,0.092400436,0.137230114,0.117472289,10
D10A13_16_C1_A,16,Control,D10_A13,Acclim,0.080953333,0.120121061,0.08762843,10
D10A13_16_C3_A,16,Control,D10_A13,Acclim,0.080231736,0.121468476,0.088232402,10
D1045_16_P1_A,16,Predator,D10_45,Acclim,0.084817629,0.132292299,0.132292299,40
D1045_16_P2_A,16,Predator,D10_45,Acclim,0.084309239,0.132701008,0.13511744,50
D1081_16_P3,16,Predator,D10_81,Acute,0.075799815,0.11735136,0.094553328,10
Cyril_16_P2_A,16,Predator,Cyril,Acclim,0.071936142,0.133723182,0.129492319,10
Cyril_16_P3_A,16,Predator,Cyril,Acclim,0.070379812,0.129530907,0.126949401,10
C14_16_P2_A,16,Predator,C14,Acclim,0.094522359,0.139481037,0.105351175,80
AD101_16_C2_A,16,Control,AD10_1,Acclim,0.059675333,0.100102381,0.100102381,30
Cyril_16_P1_A,16,Predator,Cyril,Acclim,0.054869928,0.107802837,0.103158553,10
C14_16_P3_A,16,Predator,C14,Acclim,0.072884932,0.122125707,0.099357953,70
C14_16_C3_A,16,Control,C14,Acclim,0.057436364,0.097633486,0.099291399,30
D87A_16_P1_A,16,Predator,D87_A,Acclim,0.086408895,0.135739064,0.100353585,10
D87A_16_P2_A,16,Predator,D87_A,Acclim,0.091166125,0.134181138,0.096255721,10
D10A13_16_P1_A,16,Predator,D10_A13,Acclim,0.090822745,0.129648942,0.092079037,20
D10A13_16_P2_A,16,Predator,D10_A13,Acclim,0.08601683,0.123824,0.11999292,70
D10A13_16_P3_A,16,Predator,D10_A13,Acclim,0.087639419,0.128355686,0.090676005,40
AD101_16_P1_A,16,Predator,AD10_1,Acclim,NA,NA,NA,30
AD101_16_P2_A,16,Predator,AD10_1,Acclim,0.095916098,0.131961088,0.094777788,20
D1045_16_P3_A,16,Predator,D10_45,Acclim,0.057364587,0.087598632,0.086917893,60
D10A14_16_C1_A,16,Control,D10_A14,Acclim,0.081018727,0.121561984,0.085342657,20
D10A14_16_C2_A,16,Control,D10_A14,Acclim,0.077706397,0.121223903,0.084118059,10
D10A14_16_C3_A,16,Control,D10_A14,Acclim,0.0799683,0.120166253,0.084551299,10
D86A_16_P2_A,16,Predator,D86_A,Acclim,0.075607783,0.117192713,0.115978269,10
D86A_16_P3_A,16,Predator,D86_A,Acclim,0.075197498,0.113004668,0.111993881,0
D86A_16_C1_A,16,Control,D86_A,Acclim,0.068225824,0.11424699,0.075032847,10
D86A_16_C2_A,16,Control,D86_A,Acclim,0.063050632,0.103593889,0.072391075,0
D86A_16_C3_A,16,Control,D86_A,Acclim,0.069809035,0.111393964,0.07754346,0
LD33_16_P2_A,16,Predator,LD33,Acclim,0.063427479,0.103625432,0.10588715,100
LD33_16_P1_A,16,Predator,LD33,Acclim,0.070902053,0.102236235,0.104169997,90
D10A14_16_P2_A,16,Predator,D10_A14,Acclim,0.061626614,0.100045911,0.10107913,30
D10A14_16_P3_A,16,Predator,D10_A14,Acclim,0.063551807,0.104800779,0.104951951,60
D10A14_16_P1_A,16,Predator,D10_A14,Acclim,0.059387918,0.099884441,0.100184742,20
AD10_1_20_C1,20,Control,AD10_1,Acute,0.117752845,0.113751388,0.121185066,10
AD10_1_20_C2,20,Control,AD10_1,Acute,0.119051995,0.109792666,0.128812599,10
AD10_1_20_C3,20,Control,AD10_1,Acute,0.117840323,0.115634932,0.12374714,10
D1045_20_C2,20,Control,D10_45,Acute,0.122951857,0.18152859,0.142743935,10
D1045_20_C1,20,Control,D10_45,Acute,0.086595379,0.133132778,0.115961607,10
D1045_20_P1,20,Predator,D10_45,Acute,0.124045356,0.184198081,0.145083398,10
D1045_20_P2,20,Predator,D10_45,Acute,0.108899551,0.164961851,0.135337878,10
D87A_20_C1,20,Control,D87_A,Acute,0.120874969,0.165798249,0.135002116,0
D87A_20_C2,20,Control,D87_A,Acute,0.096095589,0.140969873,0.115678956,0
D87A_20_C3,20,Control,D87_A,Acute,0.099679269,0.140433407,0.116082727,0
D87A_20_P1,20,Predator,D87_A,Acute,0.111981627,0.165319295,0.120519707,40
D87A_20_P2,20,Predator,D87_A,Acute,0.112083148,0.169773944,0.124821468,40
D87A_20_P3,20,Predator,D87_A,Acute,0.116450409,0.16336854,0.119904342,NA
LD33_20_C1,20,Control,LD33,Acute,0.10576245,0.164823789,0.120770154,30
LD33_20_C2,20,Control,LD33,Acute,0.109421331,0.165182158,0.118532029,10
LD33_20_C3,20,Control,LD33,Acute,0.112557196,0.167530329,0.118522357,20
LD33_20_P1,20,Predator,LD33,Acute,0.116248088,0.171152586,0.120454399,70
LD33_20_P2,20,Predator,LD33,Acute,0.120639499,0.179830441,0.129005664,70
LD33_20_P3,20,Predator,LD33,Acute,0.081626107,0.134022755,0.13590087,60
C14_20_C2,20,Control,C14,Acute,0.088536052,0.147185018,0.114095668,20
C14_20_P1,20,Predator,C14,Acute,0.108017426,0.168279411,0.044557479,60
C14_20_P3,20,Predator,C14,Acute,0.086486895,0.146685306,0.016446326,60
AD10_1_20_P1,20,Predator,AD10_1,Acute,0.076235841,0.122353996,0.096576609,50
AD10_1_20_P2,20,Predator,AD10_1,Acute,0.067872438,0.112796693,0.091435369,50
AD10_1_20_P3,20,Predator,AD10_1,Acute,0.073631997,0.118943337,0.095111884,50
LD33_20_C1_A,20,Control,LD33,Acclim,0.09009643,0.152182098,0.112924073,10
LD33_20_C2_A,20,Control,LD33,Acclim,0.091449879,0.155482042,0.111059553,10
