Clone,Temperature,Treatment,Experiment,Stage,Survival,Mean.Rep
D10_45,16,Control,Acute,B1,1,4
D10_45,16,Control,Acute,B2,1,11
D10_45,16,Predator,Acute,B0,1,NA
D10_45,16,Predator,Acute,B1,1,8.33
D10_45,16,Predator,Acute,B2,1,14
D10_45,16,Control,Acclim,B0,1,NA
D10_45,16,Control,Acclim,B1,1,6
D10_45,16,Control,Acclim,B2,1,9.33
D10_45,16,Control,Acclim,B3,1,4.67
D10_45,16,Predator,Acclim,B0,1,NA
D10_45,16,Predator,Acclim,B1,1,9.5
D10_45,16,Predator,Acclim,B2,1,12.67
D10_45,16,Predator,Acclim,B3,1,13.33
D10_45,20,Control,Acute,B0,1,NA
D10_45,20,Control,Acute,B1,0.67,4.5
D10_45,20,Control,Acute,B2,0.67,6
D10_45,20,Predator,Acute,B0,1,NA
D10_45,20,Predator,Acute,B1,0.67,10.5
D10_45,20,Predator,Acute,B2,0.33,14
D10_45,20,Control,Acclim,B0,1,NA
D10_45,20,Control,Acclim,B1,1,5.33
D10_45,20,Control,Acclim,B2,1,8
D10_45,20,Control,Acclim,B3,1,8.33
D10_45,20,Predator,Acclim,B0,1,NA
D10_45,20,Predator,Acclim,B1,1,10
D10_45,20,Predator,Acclim,B2,1,6.33
D10_45,20,Predator,Acclim,B3,0.67,6
D10_45,24,Control,Acute,B0,1,NA
D10_45,24,Control,Acute,B1,0.67,2.5
D10_45,24,Control,Acute,B2,0.67,3.5
D10_45,24,Predator,Acute,B0,1,NA
D10_45,24,Predator,Acute,B1,1,5.33
D10_45,24,Predator,Acute,B2,1,5.33
D10_45,24,Predator,Acute,B3,1,7
D10_45,24,Control,Acclim,B0,1,NA
D10_45,24,Control,Acclim,B1,0.67,3.5
D10_45,24,Control,Acclim,B2,0,NA
D10_45,24,Control,Acclim,B3,0,NA
D10_45,24,Predator,Acclim,B0,1,NA
D10_45,24,Predator,Acclim,B1,0.67,2
D10_45,24,Predator,Acclim,B2,0.33,6
D10_45,24,Predator,Acclim,B3,0.33,6
D10_45,28,Control,Acute,B0,1,NA
D10_45,28,Control,Acute,B1,0.67,4.5
D10_45,28,Control,Acute,B2,0,NA
D10_45,28,Predator,Acute,B0,1,NA
D10_45,28,Predator,Acute,B1,0.33,3
D10_45,28,Predator,Acute,B2,0.33,6
D10_45,28,Predator,Acute,B3,0,NA
D10_45,28,Control,Acclim,B0,0.33,NA
D10_45,28,Control,Acclim,B1,0,NA
D10_45,28,Control,Acclim,B2,0,NA
D10_45,28,Control,Acclim,B3,0,NA
D10_45,28,Predator,Acclim,B0,1,NA
D10_45,28,Predator,Acclim,B1,0.33,1
D10_45,28,Predator,Acclim,B2,0.33,2
D10_45,28,Predator,Acclim,B3,0,NA
D87_A,16,Control,Acute,B0,1,NA
D87_A,16,Control,Acute,B1,0.67,4
D87_A,16,Control,Acute,B2,0.67,9
D87_A,16,Predator,Acute,B0,1,NA
D87_A,16,Predator,Acute,B1,0.67,5.5
D87_A,16,Predator,Acute,B2,0.33,14
D87_A,16,Control,Acclim,B0,1,NA
D87_A,16,Control,Acclim,B1,0.5,4.5
D87_A,16,Control,Acclim,B2,0.5,8
D87_A,16,Control,Acclim,B3,0.5,7.5
D87_A,16,Predator,Acclim,B0,1,NA
D87_A,16,Predator,Acclim,B1,1,7
D87_A,16,Predator,Acclim,B2,0.5,7
D87_A,16,Predator,Acclim,B3,0.5,4
D87_A,20,Control,Acute,B0,1,NA
D87_A,20,Control,Acute,B1,1,5.67
D87_A,20,Control,Acute,B2,0.67,11.5
D87_A,20,Predator,Acute,B0,1,NA
D87_A,20,Predator,Acute,B1,0.67,6
D87_A,20,Predator,Acute,B2,0.67,14
D87_A,20,Control,Acclim,B0,1,NA
D87_A,20,Control,Acclim,B1,1,5.33
D87_A,20,Control,Acclim,B2,1,12
D87_A,20,Control,Acclim,B3,1,11.33
D87_A,20,Predator,Acclim,B0,1,NA
D87_A,20,Predator,Acclim,B1,1,8
D87_A,20,Predator,Acclim,B2,1,11.67
D87_A,20,Predator,Acclim,B3,1,13
D87_A,24,Control,Acute,B0,1,NA
D87_A,24,Control,Acute,B1,0.67,7
D87_A,24,Control,Acute,B2,0.67,7
D87_A,24,Control,Acute,B3,0.67,11
D87_A,24,Predator,Acute,B0,1,NA
D87_A,24,Predator,Acute,B1,1,6.67
D87_A,24,Predator,Acute,B2,1,7
D87_A,24,Control,Acclim,B0,1,NA
D87_A,24,Control,Acclim,B1,0.83,4.4
D87_A,24,Control,Acclim,B2,0.5,6
D87_A,24,Control,Acclim,B3,0.5,5.67
D87_A,24,Predator,Acclim,B0,1,NA
D87_A,24,Predator,Acclim,B1,1,8.33
D87_A,24,Predator,Acclim,B2,0.67,12.5
D87_A,24,Predator,Acclim,B3,0.33,6
D87_A,28,Control,Acute,B0,1,NA
D87_A,28,Control,Acute,B1,1,4
D87_A,28,Control,Acute,B2,1,5.33
D87_A,28,Predator,Acute,B0,1,NA
D87_A,28,Predator,Acute,B1,0.67,4.5
D87_A,28,Predator,Acute,B2,0.67,3
D87_A,28,Control,Acclim,B0,1,NA
D87_A,28,Control,Acclim,B1,1,3.67
D87_A,28,Control,Acclim,B2,1,4
D87_A,28,Control,Acclim,B3,1,4.33
D87_A,28,Predator,Acclim,B0,1,NA
D87_A,28,Predator,Acclim,B1,0.67,4
D87_A,28,Predator,Acclim,B2,0.67,5
D87_A,28,Predator,Acclim,B3,0.67,9
D87_A,28,Predator,Acclim,B4,0.67,1
LD33,16,Control,Acute,B0,1,NA
LD33,16,Control,Acute,B1,1,5
LD33,16,Control,Acute,B2,1,6.33
LD33,16,Predator,Acute,B0,1,NA
LD33,16,Predator,Acute,B1,1,7.67
LD33,16,Predator,Acute,B2,0.67,14
LD33,16,Control,Acclim,B0,1,NA
LD33,16,Control,Acclim,B1,1,4
LD33,16,Control,Acclim,B2,1,7.33
LD33,16,Control,Acclim,B3,0.67,8
LD33,16,Predator,Acclim,B0,1,NA
LD33,16,Predator,Acclim,B1,0,NA
LD33,16,Predator,Acclim,B2,0,NA
LD33,16,Predator,Acclim,B3,0,NA
LD33,20,Control,Acute,B0,1,NA
LD33,20,Control,Acute,B1,0.67,5
LD33,20,Control,Acute,B2,0.67,5.5
LD33,20,Predator,Acute,B0,1,NA
LD33,20,Predator,Acute,B1,1,7.33
LD33,20,Predator,Acute,B2,1,11.33
LD33,20,Control,Acclim,B0,1,NA
LD33,20,Control,Acclim,B1,1,8.33
LD33,20,Control,Acclim,B2,1,8.33
LD33,20,Control,Acclim,B3,1,6
LD33,20,Predator,Acclim,B0,1,NA
LD33,20,Predator,Acclim,B1,1,9.67
